央视频道,#genre#
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/356/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3563/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/36456/index.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3564/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3639/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/36474/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/36406/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/36480/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3567/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3560/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/36465/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3634/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/36344/index.m3u8
延边卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3656/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3569/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/36397/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3637/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/35634/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3565/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/36380/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/36444/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/35633/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3563/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/3568/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/35635/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/35638/index.m3u8
兵团卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/4/36439/index.m3u8

北京卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/36450/index.m3u8
东方卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/36345/index.m3u8
天津卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/36459/index.m3u8
重庆卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/36409/index.m3u8
四川卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/36338/index.m3u8
广东卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/3648/index.m3u8
深圳卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/3633/index.m3u8
浙江卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/36339/index.m3u8
江苏卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/3630/index.m3u8
山东卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/36456/index.m3u8
江西卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/36344/index.m3u8
河南卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/36480/index.m3u8
河北卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/36406/index.m3u8
安徽卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/3639/index.m3u8
贵州卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/36474/index.m3u8
东南卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/3634/index.m3u8
海南卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/36465/index.m3u8
广西卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/36549/index.m3u8
湖南卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/36307/index.m3u8
湖北卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/36477/index.m3u8
辽宁卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/36546/index.m3u8
吉林卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/36397/index.m3u8
黑龙江卫视,http://[409:8087:a0:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/4/3637/index.m3u8



北京卫视,http://[409:8087:a0:df::4077]/PLTV/88888888/4/3593/index.m3u8
